,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
18723,"frozenset({'A101', 'A161', 'A152', 'A201'})",frozenset({'A211'}),0.38,0.7,0.263,0.6921052631578948,0.9887218045112783,-0.002999999999999947,0.9743589743589747
18813,"frozenset({'A32', 'A101', 'A161', 'A152'})",frozenset({'A211'}),0.291,0.7,0.201,0.6907216494845362,0.9867452135493374,-0.0026999999999999524,0.9700000000000004
18903,"frozenset({'A173', 'A101', 'A152', 'A171'})",frozenset({'A211'}),0.368,0.7,0.278,0.7554347826086958,1.0791925465838512,0.02040000000000003,1.2266666666666675
18992,"frozenset({'A101', 'A152', 'A171', 'A191'})",frozenset({'A211'}),0.332,0.7,0.244,0.7349397590361445,1.0499139414802066,0.0116,1.1318181818181816
19082,"frozenset({'A101', 'A152', 'A171', 'A201'})",frozenset({'A211'}),0.538,0.7,0.391,0.7267657992565055,1.0382368560807222,0.014400000000000024,1.0979591836734695
19292,"frozenset({'A32', 'A101', 'A152', 'A171'})",frozenset({'A211'}),0.286,0.7,0.2,0.6993006993006994,0.9990009990009991,-0.00019999999999995022,0.9976744186046516
19322,"frozenset({'A101', 'A152', 'A52', 'A171'})",frozenset({'A211'}),0.281,0.7,0.22,0.7829181494661921,1.1184544992374172,0.023299999999999987,1.3819672131147538
19352,"frozenset({'A101', 'A152', 'A171', 'A61'})",frozenset({'A211'}),0.328,0.7,0.22,0.6707317073170731,0.9581881533101045,-0.009599999999999997,0.9111111111111111
19382,"frozenset({'A101', 'A152', 'A84', 'A171'})",frozenset({'A211'}),0.28,0.7,0.201,0.7178571428571429,1.0255102040816326,0.0050000000000000044,1.0632911392405064
19412,"frozenset({'A101', 'A93', 'A152', 'A171'})",frozenset({'A211'}),0.286,0.7,0.222,0.7762237762237763,1.108891108891109,0.02180000000000004,1.3406250000000004
19474,"frozenset({'A173', 'A101', 'A152', 'A201'})",frozenset({'A211'}),0.401,0.7,0.302,0.7531172069825436,1.0758817242607766,0.021299999999999986,1.215151515151515
19652,"frozenset({'A101', 'A152', 'A191', 'A201'})",frozenset({'A211'}),0.369,0.7,0.265,0.7181571815718157,1.0259388308168798,0.006700000000000039,1.0644230769230771
19742,"frozenset({'A32', 'A101', 'A152', 'A201'})",frozenset({'A211'}),0.31,0.7,0.215,0.6935483870967741,0.9907834101382488,-0.0020000000000000018,0.9789473684210526
19772,"frozenset({'A101', 'A152', 'A52', 'A201'})",frozenset({'A211'}),0.314,0.7,0.243,0.7738853503184713,1.105550500454959,0.0232,1.3267605633802815
19802,"frozenset({'A101', 'A152', 'A61', 'A201'})",frozenset({'A211'}),0.362,0.7,0.241,0.6657458563535912,0.9510655090765588,-0.012399999999999967,0.897520661157025
19832,"frozenset({'A101', 'A152', 'A84', 'A201'})",frozenset({'A211'}),0.317,0.7,0.224,0.7066246056782335,1.0094637223974765,0.0021000000000000185,1.0225806451612907
19862,"frozenset({'A101', 'A93', 'A152', 'A201'})",frozenset({'A211'}),0.357,0.7,0.273,0.7647058823529412,1.092436974789916,0.023100000000000037,1.2750000000000006
19984,"frozenset({'A173', 'A101', 'A161', 'A171'})",frozenset({'A211'}),0.322,0.7,0.226,0.7018633540372671,1.0026619343389531,0.0006000000000000172,1.00625
20073,"frozenset({'A101', 'A161', 'A171', 'A191'})",frozenset({'A211'}),0.297,0.7,0.2,0.6734006734006734,0.9620009620009621,-0.007899999999999963,0.9185567010309281
20163,"frozenset({'A101', 'A161', 'A171', 'A201'})",frozenset({'A211'}),0.488,0.7,0.333,0.6823770491803279,0.9748243559718971,-0.008599999999999941,0.9445161290322583
20373,"frozenset({'A32', 'A101', 'A161', 'A171'})",frozenset({'A211'}),0.377,0.7,0.26,0.6896551724137931,0.9852216748768474,-0.003899999999999959,0.966666666666667
20495,"frozenset({'A173', 'A101', 'A161', 'A201'})",frozenset({'A211'}),0.348,0.7,0.24,0.6896551724137931,0.9852216748768474,-0.0035999999999999643,0.966666666666667
20553,"frozenset({'A101', 'A161', 'A191', 'A201'})",frozenset({'A211'}),0.327,0.7,0.212,0.6483180428134556,0.926168632590651,-0.0169,0.8530434782608696
20613,"frozenset({'A32', 'A101', 'A161', 'A201'})",frozenset({'A211'}),0.413,0.7,0.28,0.6779661016949153,0.9685230024213077,-0.009099999999999941,0.9315789473684214
20643,"frozenset({'A101', 'A161', 'A52', 'A201'})",frozenset({'A211'}),0.277,0.7,0.2,0.7220216606498194,1.0314595152140278,0.006099999999999994,1.079220779220779
20763,"frozenset({'A173', 'A101', 'A171', 'A191'})",frozenset({'A211'}),0.308,0.7,0.214,0.6948051948051948,0.9925788497217068,-0.0015999999999999903,0.9829787234042553
20794,"frozenset({'A173', 'A101', 'A171', 'A201'})",frozenset({'A211'}),0.488,0.7,0.348,0.7131147540983607,1.018735362997658,0.006400000000000017,1.0457142857142858
21003,"frozenset({'A173', 'A101', 'A52', 'A171'})",frozenset({'A211'}),0.27,0.7,0.201,0.7444444444444445,1.0634920634920635,0.01200000000000001,1.1739130434782612
21032,"frozenset({'A101', 'A201', 'A171', 'A191'})",frozenset({'A211'}),0.436,0.7,0.302,0.6926605504587156,0.9895150720838795,-0.0031999999999999806,0.9761194029850746
21212,"frozenset({'A192', 'A101', 'A171', 'A201'})",frozenset({'A211'}),0.315,0.7,0.223,0.707936507936508,1.0113378684807257,0.00250000000000003,1.0271739130434785
21243,"frozenset({'A101', 'A22', 'A171', 'A201'})",frozenset({'A211'}),0.306,0.7,0.224,0.7320261437908497,1.0457516339869282,0.009800000000000031,1.1195121951219515
21272,"frozenset({'A32', 'A101', 'A171', 'A201'})",frozenset({'A211'}),0.404,0.7,0.273,0.6757425742574258,0.9653465346534654,-0.009799999999999975,0.9251908396946568
21302,"frozenset({'A101', 'A52', 'A171', 'A201'})",frozenset({'A211'}),0.379,0.7,0.278,0.7335092348284961,1.0478703354692802,0.012700000000000045,1.125742574257426
21332,"frozenset({'A101', 'A171', 'A61', 'A201'})",frozenset({'A211'}),0.444,0.7,0.281,0.632882882882883,0.9041184041184043,-0.029799999999999938,0.8171779141104297
21362,"frozenset({'A101', 'A171', 'A84', 'A201'})",frozenset({'A211'}),0.37,0.7,0.249,0.672972972972973,0.9613899613899615,-0.010000000000000009,0.9173553719008266
21392,"frozenset({'A101', 'A93', 'A171', 'A201'})",frozenset({'A211'}),0.365,0.7,0.273,0.7479452054794521,1.0684931506849316,0.017500000000000016,1.1902173913043481
21634,"frozenset({'A173', 'A101', 'A191', 'A201'})",frozenset({'A211'}),0.338,0.7,0.227,0.6715976331360947,0.959425190194421,-0.009599999999999997,0.9135135135135136
21695,"frozenset({'A32', 'A101', 'A173', 'A201'})",frozenset({'A211'}),0.295,0.7,0.201,0.6813559322033899,0.9733656174334141,-0.005499999999999977,0.9414893617021278
21724,"frozenset({'A173', 'A101', 'A52', 'A201'})",frozenset({'A211'}),0.294,0.7,0.219,0.7448979591836735,1.0641399416909623,0.013200000000000017,1.1760000000000004
21754,"frozenset({'A173', 'A101', 'A93', 'A201'})",frozenset({'A211'}),0.3,0.7,0.222,0.74,1.0571428571428572,0.01200000000000001,1.153846153846154
21783,"frozenset({'A143', 'A171', 'A114', 'A201'})",frozenset({'A211'}),0.292,0.7,0.215,0.7363013698630138,1.0518590998043054,0.010600000000000026,1.137662337662338
